product_id,Sku_name,Total_sales,price,Total_comment_count,Product_score
5.74786E+11,Hugo Boss【BOSS】男士商务休闲衬衫50393522 ,95,660,17,5
5.66689E+11,Hugo Boss【Hugo】男士系带运动鞋50383740 ,42,1300,13,5
5.6689E+11,Hugo Boss【Hugo】男士黑色混纺牛仔裤50382891 ,117,550,31,4.7
5.64998E+11,Hugo Boss【Hugo】男士深蓝色弹力牛仔布牛仔裤50382883 ,77,550,21,4.7
5.76436E+11,Hugo Boss【BOSS】男士运动休闲低腰斜纹休闲裤50380145 ,20,1240,3,5
5.77201E+11,Hugo Boss【BOSS】男士商务休闲弹力棉牛仔长裤50379506 ,105,825,25,4.9
5.65893E+11,Hugo Boss【HUGO】男士休闲版防风夹克50382510 ,18,1700,5,5
5.77614E+11,Hugo Boss【BOSS】男士商务休闲系带方形鞋头男鞋50221543 ,100,1680,21,4.7
5.8258E+11,Hugo Boss【Hugo】男士反转logo印花短袖T恤50388624 ,11,396,1,5
5.77733E+11,Hugo Boss【BOSS】男士商务休闲系带休闲鞋男鞋50388431 ,85,775,23,4.8
5.7653E+11,Hugo Boss【BOSS】男士商务休闲短袖polo衫50391728 ,43,660,7,5
5.7691E+11,Hugo Boss【BOSS】男士商务休闲夹克外套50381319 ,70,2150,19,5
5.56898E+11,Hugo Boss【BOSS】男士商务休闲混纺衬衫50260064 ,37,840,9,4.6
5.72494E+11,Hugo Boss【Hugo】女士连衣裙50390787 ,11,1400,1,5
5.73727E+11,Hugo Boss【BOSS】男士商务休闲衬衫50395832 ,61,810,10,5
5.82107E+11,Hugo Boss【BOSS】男士运动休闲修身版棉质长袖Polo衫50399195 ,3,1200,0,无数据
5.77194E+11,Hugo Boss【BOSS】男士商务休闲中长款棉质风衣50385739 ,16,2150,2,5
5.81324E+11,Hugo Boss【BOSS】女士舒适休闲法式毛圈布连帽运动衫50396086 ,4,1015,2,5
5.78191E+11,Hugo Boss【BOSS】男士商务休闲牛仔长裤50384591 ,45,725,6,4.6
5.78152E+11,Hugo Boss【BOSS】男士运动休闲束带休闲裤50392662 ,36,1440,11,4.7
5.69462E+11,Hugo Boss【BOSS】男士运动休闲棉短袖印花T恤50389092 ,101,396,23,5
5.73691E+11,Hugo Boss【BOSS】男士运动休闲logo双面腰带50397568 ,41,880,10,5
5.79391E+11,Hugo Boss【BOSS】男士商务休闲西装外套50375810 ,7,5800,0,无数据
5.74825E+11,Hugo Boss【Hugo】女士秋冬黑色毛衣50394807 ,21,623,6,5
5.82644E+11,Hugo Boss【BOSS】男士商务休闲修身版棉质长袖衬衫50393245 ,27,660,6,5
5.69374E+11,Hugo Boss【Hugo】女士商务衬衫50388854 ,12,550,2,5
5.81315E+11,Hugo Boss【BOSS】男士商务休闲双面绸飞行员夹克外套50403104 ,2,5600,1,5
5.76243E+11,Hugo Boss【BOSS】男士商务休闲西装西服外套50394392 ,11,3920,3,3.6
5.80216E+11,Hugo Boss【BOSS】男士运动休闲短袖T恤50394125 ,29,462,5,4
